amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,excess_return,expense_efficiency,risk_adjusted_return,drawdown_score,high_performer
120507,ICICI Pru Liquid Fund - Regular - Growth,4,7,1,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,1,1.8499999999999996,10.715249662618085,15.32934131736527,97.38,0
118632,Nippon India Large Cap Fund - Regular - Growth,7,6,1,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,2,0.8599999999999994,9.728656518861682,0.9999285765302479,83.93,1
118633,Nippon India Large Cap Fund - Direct - Growth,7,6,0,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,2,1.6999999999999993,20.41608876560333,0.8806513820441397,81.86,1
118634,Nippon India Small Cap Fund - Regular - Growth,7,10,1,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,4,0.7999999999999972,14.291312867406925,0.8059677612895483,69.13,1
118635,Nippon India ETF Nifty 50 BeES,7,4,0,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,2,1.799999999999999,13.815937149270482,0.9053149757710945,73.25,0
118636,Nippon India Gilt Securities Fund - Regular - Growth,7,2,1,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,1,0.8899999999999997,15.807622504537205,1.3271682079480127,97.77,0
120841,Kotak Bluechip Fund - Regular - Growth,5,6,1,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,2,1.2699999999999996,8.434946574481458,0.8749375044639669,82.14,0
120842,Kotak Emerging Equity Fund - Regular - Growth,5,8,1,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,0,1.9100000000000001,11.37091607943626,0.9594231882532498,78.08,1
120843,Kotak Flexicap Fund - Regular - Growth,5,1,1,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,3,1.8499999999999996,9.303928325292903,0.9780638710080619,80.5,0
120844,Kotak Liquid Fund - Regular - Growth,5,7,1,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,1,1.5199999999999996,13.743760399334443,12.335329341317365,96.19,0
119092,Axis Bluechip Fund - Regular - Growth,1,6,1,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,2,1.4100000000000001,8.61669713589275,0.8456538818655811,72.46000000000001,0
119093,Axis Bluechip Fund - Direct - Growth,1,6,0,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,2,1.4299999999999997,18.189081225033288,0.8670809227912293,82.6,0
119094,Axis Midcap Fund - Regular - Growth,1,8,1,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,0,1.42,13.71469949312093,0.7989053207725908,67.62,1
119095,Axis Small Cap Fund - Regular - Growth,1,10,1,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,4,0.5100000000000016,16.37943519188994,0.8391664333426663,85.55,1
101206,ABSL Frontline Equity Fund - Regular - Growth,0,6,1,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,2,1.3399999999999999,8.032479700187382,0.9842154131847725,84.93,0
101207,ABSL Small Cap Fund - Regular - Growth,0,10,1,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,4,1.8399999999999999,15.545395166557807,0.8951641934322626,76.39,1
101208,ABSL Liquid Fund - Regular - Growth,0,7,1,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,1,1.1799999999999997,10.050568900126422,10.259481037924152,96.34,0
102885,UTI Nifty 50 Index Fund - Regular - Growth,9,3,1,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,2,0.9299999999999997,7.199236155315086,0.9306976386431813,75.58,0
102886,UTI Mid Cap Fund - Regular - Growth,9,8,1,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,0,1.1199999999999992,10.496360026472535,0.8215357086469133,86.57,1
102887,UTI Flexi Cap Fund - Regular - Growth,9,1,1,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,3,1.7899999999999991,9.616087751371117,0.958690081869883,87.86,1
148567,Mirae Asset Large Cap Fund - Regular - Growth,6,6,1,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,2,1.620000000000001,8.678986995208762,1.057781587029498,82.93,0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,6,5,1,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,3,1.700000000000001,10.309007232084156,0.9099431285544654,66.85,1
148569,Mirae Asset Tax Saver Fund - Regular - Growth,6,0,1,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,0,0.5400000000000009,8.906933166770768,0.7987765425563201,77.38,1
149322,DSP Top 100 Equity Fund - Regular - Growth,2,6,1,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,2,1.8200000000000003,8.014276443867619,0.9156488822226985,78.3,0
149323,DSP Midcap Fund - Regular - Growth,2,8,1,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,0,1.0199999999999996,11.793916821849782,0.903110362612494,73.01,1
149324,DSP Small Cap Fund - Regular - Growth,2,10,1,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,4,0.6899999999999977,13.550295857988166,0.8031678732850684,82.99,1
